class_name,support,predicted_support,true_positive,false_positive,false_negative,true_negative,accuracy,precision,recall,f1,inference_time_mean_sec,inference_time_std_sec,inference_time_min_sec,inference_time_max_sec
Mode1,84,48,48,0,36,954,0.9653179190751445,1.0,0.5714285714285714,0.7272727272727273,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
Mode2,83,147,83,64,0,891,0.9383429672447013,0.564625850340136,1.0,0.7217391304347825,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
Mode3,81,77,77,0,4,957,0.9961464354527938,1.0,0.9506172839506173,0.9746835443037974,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
Mode4,81,85,81,4,0,953,0.9961464354527938,0.9529411764705882,1.0,0.9759036144578312,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
Mode5,79,83,78,5,1,954,0.9942196531791907,0.9397590361445783,0.9873417721518988,0.962962962962963,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
Mode6,83,48,47,1,36,954,0.964354527938343,0.9791666666666666,0.5662650602409639,0.7175572519083969,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
Mode7,82,81,79,2,3,954,0.9951830443159922,0.9753086419753086,0.9634146341463414,0.9693251533742332,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
Mode8,84,83,81,2,3,952,0.9951830443159922,0.9759036144578314,0.9642857142857143,0.970059880239521,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
Off,80,177,76,101,4,857,0.8988439306358381,0.4293785310734463,0.95,0.5914396887159533,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
On,301,209,202,7,99,730,0.8978805394990366,0.9665071770334929,0.6710963455149501,0.792156862745098,0.0033638746388389338,0.00392043143196603,0.003023124998435378,0.12949074999778531
