backbone,filepath,relative_path,source_folder,filename,sample_rate,num_samples,predicted_index,predicted_label,predicted_probability,true_index,is_correct,inference_time_sec,prob_Mode1,prob_Mode2,prob_Mode3,prob_Mode4,prob_Mode5,prob_Mode6,prob_Mode7,prob_Mode8,prob_Off,prob_On
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173253_86.wav,Mode1/audio_20250702_173253_86.wav,Mode1,audio_20250702_173253_86.wav,48000,48000,0,Mode1,0.9904738068580627,0,True,0.06063587500830181,0.9904738068580627,3.477189693512628e-06,1.5852851253939093e-09,2.1326386558939703e-05,6.676385510218097e-06,1.1652393823169405e-06,0.009491624310612679,1.3851235713957522e-08,2.4777290263955365e-07,1.642473648644227e-06
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173254_87.wav,Mode1/audio_20250702_173254_87.wav,Mode1,audio_20250702_173254_87.wav,48000,48000,0,Mode1,0.9981990456581116,0,True,0.0009996250155381858,0.9981990456581116,1.0261337592964992e-05,6.238340954922705e-09,5.8980494941351935e-06,0.0016933936858549714,1.4341200227363515e-08,9.038519056048244e-05,9.317520088814035e-09,8.750471351959277e-07,6.864391366434575e-08
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173255_89.wav,Mode1/audio_20250702_173255_89.wav,Mode1,audio_20250702_173255_89.wav,48000,48000,0,Mode1,0.9999954700469971,0,True,0.0008019169908948243,0.9999954700469971,3.358069307068945e-07,9.02868266261514e-11,7.43434668493137e-07,1.4287966223491821e-06,9.983271986868658e-10,1.9892383988917572e-06,7.669712087654545e-10,5.570070182869813e-09,4.124565222696219e-08
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173256_93.wav,Mode1/audio_20250702_173256_93.wav,Mode1,audio_20250702_173256_93.wav,48000,48000,0,Mode1,0.9999983310699463,0,True,0.0008796250040177256,0.9999983310699463,3.3979839031417214e-07,7.620487574300228e-11,4.2960149926329905e-07,2.608424836125778e-07,9.432800096575988e-10,6.052133016964945e-07,6.691333043207237e-10,3.44905259908046e-09,9.833090786059984e-08
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173257_94.wav,Mode1/audio_20250702_173257_94.wav,Mode1,audio_20250702_173257_94.wav,48000,48000,0,Mode1,0.9999991655349731,0,True,0.000698209012625739,0.9999991655349731,2.2753491180083074e-07,5.886583581693472e-11,1.267078459932236e-07,3.54613618469557e-08,8.27028390215645e-10,2.878110763049335e-07,4.0231487585806747e-10,2.309375801701208e-09,1.8191494177699497e-07
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173258_96.wav,Mode1/audio_20250702_173258_96.wav,Mode1,audio_20250702_173258_96.wav,48000,48000,0,Mode1,0.9999990463256836,0,True,0.0007882909849286079,0.9999990463256836,2.976661903630884e-07,6.797576390660254e-11,2.417914402030874e-07,5.3273616629212484e-08,9.548860591124253e-10,2.8402152452144946e-07,5.002345204729863e-10,2.454822123354461e-09,1.8787469002745638e-07
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173300_00.wav,Mode1/audio_20250702_173300_00.wav,Mode1,audio_20250702_173300_00.wav,48000,48000,0,Mode1,0.9999988079071045,0,True,0.0006824999873060733,0.9999988079071045,3.0497011493935133e-07,6.664190727034836e-11,1.7713874456148915e-07,2.3121485170918277e-08,1.4274181836526623e-09,3.414774312204827e-07,5.437372219141423e-10,2.381255859162934e-09,3.794477549945441e-07
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173301_03.wav,Mode1/audio_20250702_173301_03.wav,Mode1,audio_20250702_173301_03.wav,48000,48000,0,Mode1,0.9999984502792358,0,True,0.0008475419890601188,0.9999984502792358,3.6523985613712284e-07,8.980962501459189e-11,2.8831468057433085e-07,3.391530256635633e-08,1.70073544136784e-09,3.258398919570027e-07,6.84368006709235e-10,2.9534417134158275e-09,5.199731276661623e-07
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173302_06.wav,Mode1/audio_20250702_173302_06.wav,Mode1,audio_20250702_173302_06.wav,48000,48000,0,Mode1,0.9999978542327881,0,True,0.0007829169917386025,0.9999978542327881,4.053899260725302e-07,1.4899621814112862e-10,5.48073160189233e-07,4.3118379977613586e-08,2.185573944046837e-09,3.335110818625253e-07,1.1236088726107596e-09,3.6257394864236403e-09,8.400723459089932e-07
LISTEN,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173303_07.wav,Mode1/audio_20250702_173303_07.wav,Mode1,audio_20250702_173303_07.wav,48000,48000,0,Mode1,0.9999974966049194,0,True,0.0008194579859264195,0.9999974966049194,4.840358656110766e-07,1.9674697981919564e-10,1.1810242313003982e-06,1.1571317060088404e-07,1.7160192156140397e-09,4.795867312168411e-07,1.1958856127591844e-09,3.6001581715794373e-09,2.756331127784506e-07
