class_name,support,predicted_support,true_positive,false_positive,false_negative,true_negative,accuracy,precision,recall,f1,inference_time_mean_sec,inference_time_std_sec,inference_time_min_sec,inference_time_max_sec
Mode1,84,83,82,1,2,953,0.9971098265895953,0.9879518072289156,0.9761904761904762,0.9820359281437125,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
Mode2,83,81,80,1,3,954,0.9961464354527938,0.9876543209876543,0.963855421686747,0.975609756097561,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
Mode3,81,77,76,1,5,956,0.9942196531791907,0.987012987012987,0.9382716049382716,0.9620253164556961,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
Mode4,81,79,79,0,2,957,0.9980732177263969,1.0,0.9753086419753086,0.9875,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
Mode5,79,78,76,2,3,957,0.9951830443159922,0.9743589743589743,0.9620253164556962,0.9681528662420382,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
Mode6,83,86,83,3,0,952,0.9971098265895953,0.9651162790697675,1.0,0.9822485207100593,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
Mode7,82,88,81,7,1,949,0.9922928709055877,0.9204545454545454,0.9878048780487805,0.9529411764705882,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
Mode8,84,83,82,1,2,953,0.9971098265895953,0.9879518072289156,0.9761904761904762,0.9820359281437125,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
Off,80,96,78,18,2,940,0.9807321772639692,0.8125,0.975,0.8863636363636362,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
On,301,287,283,4,18,733,0.9788053949903661,0.9860627177700348,0.9401993355481728,0.9625850340136055,0.0007681871993659667,0.001864449846740438,0.0006151669949758798,0.06063587500830181
