backbone,filepath,relative_path,source_folder,filename,sample_rate,num_samples,predicted_index,predicted_label,predicted_probability,true_index,is_correct,inference_time_sec,prob_Mode1,prob_Mode2,prob_Mode3,prob_Mode4,prob_Mode5,prob_Mode6,prob_Mode7,prob_Mode8,prob_Off,prob_On
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173253_86.wav,Mode1/audio_20250702_173253_86.wav,Mode1,audio_20250702_173253_86.wav,48000,48000,4,Mode5,0.9013112187385559,0,False,0.11106149997795,0.0282761137932539,0.010402793996036053,0.02022663690149784,0.0007383198826573789,0.9013112187385559,0.031770285218954086,0.00553369102999568,4.2138504795730114e-05,0.0003686424170155078,0.0013301771832630038
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173254_87.wav,Mode1/audio_20250702_173254_87.wav,Mode1,audio_20250702_173254_87.wav,48000,48000,0,Mode1,0.9985641837120056,0,True,0.0037054999847896397,0.9985641837120056,0.0009693157044239342,6.77061325404793e-05,2.5229770471923985e-05,0.00022954438463784754,6.643138021900086e-06,1.4658279724244494e-05,8.925783731683623e-06,0.00010956156620522961,4.293744041206082e-06
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173255_89.wav,Mode1/audio_20250702_173255_89.wav,Mode1,audio_20250702_173255_89.wav,48000,48000,0,Mode1,0.9999182224273682,0,True,0.0035985420108772814,0.9999182224273682,4.410608653415693e-06,3.47881687048357e-05,2.0617913833120838e-05,3.601145635911962e-06,1.0637379688205328e-07,8.0763629739522e-06,3.93702475776081e-06,5.615012923954055e-06,5.536409162232303e-07
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173256_93.wav,Mode1/audio_20250702_173256_93.wav,Mode1,audio_20250702_173256_93.wav,48000,48000,0,Mode1,0.999942421913147,0,True,0.003894042019965127,0.999942421913147,2.6419368168717483e-06,8.79099934536498e-06,3.9034555811667815e-05,4.2912793674076966e-07,3.5163878919775016e-08,3.4685072023421526e-06,9.471805810790102e-07,1.987619725696277e-06,1.2612645150511526e-07
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173257_94.wav,Mode1/audio_20250702_173257_94.wav,Mode1,audio_20250702_173257_94.wav,48000,48000,0,Mode1,0.999956488609314,0,True,0.0033582079922780395,0.999956488609314,1.2323707778705284e-06,9.63113870966481e-06,2.562153349572327e-05,4.556759449769743e-07,2.045384661641947e-08,3.910666237061378e-06,9.594556331649073e-07,1.452101400900574e-06,1.2633744006507186e-07
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173258_96.wav,Mode1/audio_20250702_173258_96.wav,Mode1,audio_20250702_173258_96.wav,48000,48000,0,Mode1,0.9999524354934692,0,True,0.003199250000761822,0.9999524354934692,1.1955918353123707e-06,1.1070590517192613e-05,2.8156468033557758e-05,3.907859706941963e-07,2.1159138441362302e-08,4.015211288788123e-06,5.219374656917353e-07,1.996778109969455e-06,1.1733902738342294e-07
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173300_00.wav,Mode1/audio_20250702_173300_00.wav,Mode1,audio_20250702_173300_00.wav,48000,48000,0,Mode1,0.9999693632125854,0,True,0.003213083022274077,0.9999693632125854,9.347915010948782e-07,7.144246410462074e-06,1.7426697013434023e-05,3.2772862823549076e-07,1.4763457123478929e-08,2.9644049845956033e-06,6.704844395244436e-07,1.0155818017665297e-06,6.746815017777408e-08
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173301_03.wav,Mode1/audio_20250702_173301_03.wav,Mode1,audio_20250702_173301_03.wav,48000,48000,0,Mode1,0.999966025352478,0,True,0.0031387500057462603,0.999966025352478,1.2540647276182426e-06,5.182654149393784e-06,2.274811595270876e-05,3.4869714227170334e-07,1.509026503754285e-08,2.6337249892094405e-06,5.72509065932536e-07,1.0656242466211552e-06,6.703206878455603e-08
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173302_06.wav,Mode1/audio_20250702_173302_06.wav,Mode1,audio_20250702_173302_06.wav,48000,48000,0,Mode1,0.9999462366104126,0,True,0.003260792000219226,0.9999462366104126,2.042235337285092e-06,6.014479822624708e-06,4.038132829009555e-05,2.8899276571792143e-07,2.0379181009388958e-08,2.7956036774412496e-06,6.569662787114794e-07,1.5392919294754392e-06,8.18113434775114e-08
MobileNetV4-Small,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173303_07.wav,Mode1/audio_20250702_173303_07.wav,Mode1,audio_20250702_173303_07.wav,48000,48000,0,Mode1,0.9999680519104004,0,True,0.0031075830047484487,0.9999680519104004,4.157332568865968e-06,3.6535122944769682e-06,1.9959896235377528e-05,4.2746501094370615e-07,3.0469170297919845e-08,1.7764072026693611e-06,4.990023967366142e-07,1.359444127047027e-06,7.746384511619908e-08
