class_name,support,predicted_support,true_positive,false_positive,false_negative,true_negative,accuracy,precision,recall,f1,inference_time_mean_sec,inference_time_std_sec,inference_time_min_sec,inference_time_max_sec
Mode1,84,78,78,0,6,954,0.9942196531791907,1.0,0.9285714285714286,0.962962962962963,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
Mode2,83,80,79,1,4,954,0.9951830443159922,0.9875,0.9518072289156626,0.9693251533742331,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
Mode3,81,68,66,2,15,955,0.9836223506743738,0.9705882352941176,0.8148148148148148,0.8859060402684563,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
Mode4,81,84,81,3,0,954,0.9971098265895953,0.9642857142857143,1.0,0.9818181818181818,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
Mode5,79,83,78,5,1,954,0.9942196531791907,0.9397590361445783,0.9873417721518988,0.962962962962963,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
Mode6,83,88,82,6,1,949,0.9932562620423893,0.9318181818181818,0.9879518072289156,0.9590643274853801,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
Mode7,82,91,79,12,3,944,0.9855491329479769,0.8681318681318682,0.9634146341463414,0.9132947976878613,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
Mode8,84,80,80,0,4,954,0.9961464354527938,1.0,0.9523809523809523,0.975609756097561,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
Off,80,70,68,2,12,956,0.9865125240847784,0.9714285714285714,0.85,0.9066666666666667,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
On,301,316,299,17,2,720,0.9816955684007708,0.9462025316455697,0.9933554817275747,0.9692058346839547,0.003521252391196613,0.0033851578020898266,0.003074833017308265,0.11106149997795
