backbone,filepath,relative_path,source_folder,filename,sample_rate,num_samples,predicted_index,predicted_label,predicted_probability,true_index,is_correct,inference_time_sec,prob_Mode1,prob_Mode2,prob_Mode3,prob_Mode4,prob_Mode5,prob_Mode6,prob_Mode7,prob_Mode8,prob_Off,prob_On
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173253_86.wav,Mode1/audio_20250702_173253_86.wav,Mode1,audio_20250702_173253_86.wav,48000,48000,4,Mode5,0.7891479730606079,0,False,0.13600691701867618,0.017265604808926582,0.0056423465721309185,0.0006014632526785135,0.0023603178560733795,0.7891479730606079,0.0009614742593839765,0.000555280945263803,0.014807119965553284,0.1686389148235321,1.9519893612596206e-05
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173254_87.wav,Mode1/audio_20250702_173254_87.wav,Mode1,audio_20250702_173254_87.wav,48000,48000,0,Mode1,0.9839644432067871,0,True,0.0066118750255554914,0.9839644432067871,0.0030861464329063892,0.00012558561866171658,8.816381159704179e-05,0.00910439807921648,0.00014669110532850027,4.900017302134074e-05,0.00021865707822144032,0.0032151041086763144,1.806750447030936e-06
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173255_89.wav,Mode1/audio_20250702_173255_89.wav,Mode1,audio_20250702_173255_89.wav,48000,48000,0,Mode1,0.9988697171211243,0,True,0.005880583979887888,0.9988697171211243,0.00043082580668851733,1.9891425836249255e-05,1.0447512977407314e-05,0.0003675124899018556,3.1493174901697785e-05,3.3279735362157226e-05,1.7460020899306983e-05,0.00021866767201572657,7.586653509861208e-07
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173256_93.wav,Mode1/audio_20250702_173256_93.wav,Mode1,audio_20250702_173256_93.wav,48000,48000,0,Mode1,0.9998384714126587,0,True,0.005392291001044214,0.9998384714126587,7.965137046994641e-05,4.9273689910478424e-06,5.660867827828042e-06,1.6036319721024483e-05,6.177671366458526e-06,8.664750566822477e-06,3.0640369459433714e-06,3.67871907656081e-05,3.919760729331756e-07
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173257_94.wav,Mode1/audio_20250702_173257_94.wav,Mode1,audio_20250702_173257_94.wav,48000,48000,0,Mode1,0.9998601675033569,0,True,0.004873666010098532,0.9998601675033569,4.439366239239462e-05,4.30712680099532e-06,2.9344362246774836e-06,1.0956391633953899e-05,3.99009877583012e-06,1.0309002391295508e-05,5.017799594497774e-06,5.7334673329023644e-05,5.39496738838352e-07
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173258_96.wav,Mode1/audio_20250702_173258_96.wav,Mode1,audio_20250702_173258_96.wav,48000,48000,0,Mode1,0.9999330043792725,0,True,0.0050464590021874756,0.9999330043792725,2.601370943011716e-05,3.571712340999511e-06,3.444401500019012e-06,4.312434612074867e-06,2.551047145971097e-06,6.578205102414358e-06,2.591084466985194e-06,1.7540241969982162e-05,4.354478164714237e-07
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173300_00.wav,Mode1/audio_20250702_173300_00.wav,Mode1,audio_20250702_173300_00.wav,48000,48000,0,Mode1,0.9999386072158813,0,True,0.004808999976376072,0.9999386072158813,1.58092279889388e-05,5.749755928263767e-06,6.767344984837109e-06,2.4247565306723118e-06,1.0530698091315571e-06,6.014278824295616e-06,2.9975919915159466e-06,1.9950137357227504e-05,6.19653860667313e-07
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173301_03.wav,Mode1/audio_20250702_173301_03.wav,Mode1,audio_20250702_173301_03.wav,48000,48000,0,Mode1,0.9998794794082642,0,True,0.004824584000743926,0.9998794794082642,3.5643501178128645e-05,1.5349638488260098e-05,1.909716047521215e-05,2.6938259907183237e-06,1.3067390227661235e-06,8.517230526194908e-06,6.135403964435682e-06,3.0371074899449013e-05,1.3063253163636546e-06
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173302_06.wav,Mode1/audio_20250702_173302_06.wav,Mode1,audio_20250702_173302_06.wav,48000,48000,0,Mode1,0.9999110698699951,0,True,0.00504737498704344,0.9999110698699951,2.6648238417692482e-05,1.2758971934090368e-05,1.6323005183949135e-05,2.106145075231325e-06,1.2442692423064727e-06,5.6347721510974225e-06,3.17472677124897e-06,2.004106318054255e-05,1.0608416687318822e-06
MobileViT-XXS,/Volumes/Data/Research/LISTEN/9001-GitHub/Datasets/Onsite_Test/test/Mode1/audio_20250702_173303_07.wav,Mode1/audio_20250702_173303_07.wav,Mode1,audio_20250702_173303_07.wav,48000,48000,0,Mode1,0.9997105002403259,0,True,0.00479825001093559,0.9997105002403259,0.00011436524800956249,6.138267053756863e-05,7.04756603226997e-05,4.134084520046599e-06,2.977257736347383e-06,7.140482921386138e-06,4.509467544266954e-06,2.2656988221569918e-05,1.8216246644442435e-06
