class_name,support,predicted_support,true_positive,false_positive,false_negative,true_negative,accuracy,precision,recall,f1,inference_time_mean_sec,inference_time_std_sec,inference_time_min_sec,inference_time_max_sec
Mode1,84,92,76,16,8,938,0.976878612716763,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
Mode2,83,67,66,1,17,954,0.9826589595375722,0.9850746268656716,0.7951807228915663,0.88,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
Mode3,81,59,43,16,38,941,0.9479768786127167,0.7288135593220338,0.5308641975308642,0.6142857142857143,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
Mode4,81,79,76,3,5,954,0.9922928709055877,0.9620253164556962,0.9382716049382716,0.95,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
Mode5,79,57,53,4,26,955,0.9710982658959537,0.9298245614035088,0.6708860759493671,0.7794117647058824,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
Mode6,83,85,83,2,0,953,0.9980732177263969,0.9764705882352941,1.0,0.988095238095238,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
Mode7,82,124,65,59,17,897,0.9267822736030829,0.5241935483870968,0.7926829268292683,0.6310679611650486,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
Mode8,84,85,80,5,4,949,0.9913294797687862,0.9411764705882353,0.9523809523809523,0.9467455621301775,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
Off,80,93,61,32,19,926,0.9508670520231214,0.6559139784946236,0.7625,0.7052023121387283,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
On,301,297,272,25,29,712,0.9479768786127167,0.9158249158249159,0.9036544850498339,0.9096989966555185,0.005412450358576656,0.004149898367769488,0.004695500014349818,0.13600691701867618
